,acc,prec0,prec1,rec0,rec1,auroc,auprc,minpse,f1_score
0,0.8728024959564209,0.8728024959564209,,1.0,0.0,0.7190701567363225,0.31662096469954554,0.3263707571801567,
1,0.8728024959564209,0.8728024959564209,,1.0,0.0,0.7383576936085317,0.3188449336877872,0.35543766578249336,
2,0.8786625266075134,0.8946415781974792,0.5611510872840881,0.9759083986282349,0.21138212084770203,0.7934524803383894,0.3772248664569877,0.43535620052770446,0.3070866346545881
3,0.8707342147827148,0.8853161931037903,0.47058823704719543,0.978672981262207,0.13008129596710205,0.8054217666979198,0.37919435890529485,0.44235924932975873,0.20382166037941982
4,0.8755601644515991,0.8911711573600769,0.5317460298538208,0.9766982793807983,0.1815718114376068,0.8096377211797394,0.38438262338068335,0.4339622641509434,0.27070705439433634
5,0.8776283860206604,0.8959621787071228,0.5460526347160339,0.9727488160133362,0.2249322533607483,0.8212966173895547,0.4130849579969311,0.45799457994579945,0.3186180468118825
6,0.8779731392860413,0.8937093019485474,0.5555555820465088,0.9763033390045166,0.20325203239917755,0.825546821818929,0.42497257228591284,0.4529262086513995,0.2976190571350101
7,0.8728024959564209,0.8728024959564209,,1.0,0.0,0.8417491876340564,0.4427469573504755,0.46825396825396826,
8,0.8772836923599243,0.8988269567489624,0.5375722646713257,0.9684044122695923,0.2520325183868408,0.8333740051460545,0.42344844943093046,0.4441489361702128,0.3431734320435365
9,0.8769389986991882,0.8893662691116333,0.5555555820465088,0.9810426831245422,0.16260161995887756,0.8413296257765105,0.4260761163549452,0.46380697050938335,0.25157233295002673
10,0.8765943050384521,0.8803359270095825,0.6279069781303406,0.9936808943748474,0.0731707289814949,0.84086618117366,0.4333421053946795,0.45528455284552843,0.1310679582150849
11,0.8738366365432739,0.9014084339141846,0.5073891878128052,0.9605055451393127,0.27913278341293335,0.846544180291724,0.4193792073135233,0.46612466124661245,0.36013985991286995
12,0.8783178329467773,0.8989381194114685,0.5470588207244873,0.9695892333984375,0.2520325183868408,0.8481357325421596,0.43976874659089293,0.46825396825396826,0.3450834855656446
13,0.8759048581123352,0.8986784219741821,0.5254237055778503,0.9668246507644653,0.2520325183868408,0.8510063062715935,0.4380897248348543,0.46632124352331605,0.3406593340050121
14,0.8772836923599243,0.8976607918739319,0.539393961429596,0.9699841737747192,0.24119241535663605,0.8546271679146491,0.4377991340757031,0.4501347708894879,0.33333334718226426
15,0.8786625266075134,0.8892857432365417,0.5841584205627441,0.9834123253822327,0.15989160537719727,0.8567324693784062,0.4440836722109097,0.4745308310991957,0.2510638381885478
16,0.8800413608551025,0.895652174949646,0.5744680762290955,0.9763033390045166,0.2195121943950653,0.8631372095711479,0.4576080080255368,0.4739454094292804,0.31764706862839087
17,0.8769389986991882,0.9029269814491272,0.5297029614448547,0.9624802470207214,0.2899729013442993,0.8581067485240413,0.4476805176126218,0.4702702702702703,0.37478108494782547
18,0.8810755014419556,0.8966267704963684,0.5833333134651184,0.9763033390045166,0.22764228284358978,0.8602869717480746,0.4598566470028559,0.49193548387096775,0.32748537761279317
