,acc,prec0,prec1,rec0,rec1,auroc,auprc,minpse,f1_score
0,0.86996907,0.86996907,,1.0,0.0,0.4440349093374004,0.12664721145250038,0.1342281879194631,
1,0.86996907,0.86996907,,1.0,0.0,0.48584985595661745,0.16901248573510236,0.15217391304347827,
2,0.86996907,0.86996907,,1.0,0.0,0.5577020843924758,0.1916233252206196,0.16666666666666666,
3,0.86996907,0.86996907,,1.0,0.0,0.564650059311981,0.1608544366556442,0.17777777777777778,
4,0.86996907,0.86996907,,1.0,0.0,0.5674461955600745,0.15633284430115574,0.19047619047619047,
5,0.86996907,0.86996907,,1.0,0.0,0.5686324351804779,0.15627936762049321,0.19047619047619047,
6,0.86996907,0.86996907,,1.0,0.0,0.5858752753770547,0.1623445020777162,0.1702127659574468,
7,0.86996907,0.86996907,,1.0,0.0,0.6006609049313675,0.16958031826330106,0.17391304347826086,
8,0.86996907,0.86996907,,1.0,0.0,0.6167598712082698,0.1774605443570888,0.18435754189944134,
9,0.86996907,0.86996907,,1.0,0.0,0.6286646331130317,0.18172274227601337,0.19631901840490798,
10,0.86996907,0.86996907,,1.0,0.0,0.6394678867988476,0.18884817387691216,0.20394736842105263,
11,0.86996907,0.86996907,,1.0,0.0,0.649932214878834,0.1955394926306357,0.2080536912751678,
12,0.86996907,0.86996907,,1.0,0.0,0.6580240637180139,0.20081086064564474,0.2152777777777778,
13,0.86996907,0.86996907,,1.0,0.0,0.658278257922386,0.20298976450778328,0.2097902097902098,
14,0.86996907,0.86996907,,1.0,0.0,0.6608201999661074,0.20539203232180642,0.20666666666666667,
15,0.86996907,0.86996907,,1.0,0.0,0.6585324521267581,0.200945581532973,0.20945945945945946,
16,0.86996907,0.86996907,,1.0,0.0,0.6581087951194713,0.2302675883753847,0.20945945945945946,
17,0.86996907,0.86996907,,1.0,0.0,0.6573462125063548,0.21863010657552095,0.2052980132450331,
18,0.86996907,0.86996907,,1.0,0.0,0.6597186917471615,0.2052253223535644,0.21379310344827587,
19,0.86996907,0.86996907,,1.0,0.0,0.6621759023894255,0.20869740445922436,0.21052631578947367,
20,0.86996907,0.86996907,,1.0,0.0,0.6661582782579224,0.21405095639020805,0.21505376344086022,
21,0.86996907,0.86996907,,1.0,0.0,0.6806473479071344,0.22348790294369397,0.22727272727272727,
22,0.86996907,0.86996907,,1.0,0.0,0.6948822233519741,0.242133174567912,0.25,
23,0.86996907,0.86996907,,1.0,0.0,0.7130147432638535,0.3013373373416464,0.3023255813953488,
24,0.88235295,0.88087773,1.0,1.0,0.0952381,0.715980342314862,0.3078114962488367,0.3125,0.17391304761903725
25,0.86996907,0.8867314,0.5,0.97508895,0.16666667,0.7393662091170987,0.366981271577428,0.3269230769230769,0.25
26,0.88235295,0.8881789,0.7,0.98932385,0.16666667,0.7507202169123877,0.3933468279065372,0.30952380952380953,0.26923077020066716
27,0.86996907,0.89180326,0.5,0.9679715,0.21428572,0.7485172004744958,0.39161020398042384,0.3584905660377358,0.29999999582767495
28,0.8606811,0.8986486,0.44444445,0.9466192,0.2857143,0.7569056092187765,0.40430988894011854,0.38095238095238093,0.34782609743522097
29,0.88235295,0.8881789,0.7,0.98932385,0.16666667,0.7597864768683273,0.32399214810948374,0.35714285714285715,0.26923077020066716
30,0.876161,0.884984,0.6,0.9857651,0.14285715,0.7590238942552109,0.3213081806003647,0.40476190476190477,0.23076924549404695
31,0.876161,0.8801262,0.6666667,0.99288255,0.0952381,0.781986104050161,0.3409308587855059,0.3953488372093023,0.1666666716337204
32,0.873065,0.8896104,0.53333336,0.97508895,0.1904762,0.752330113540078,0.3312922699602031,0.3333333333333333,0.28070176786993345
33,0.876161,0.8825397,0.625,0.98932385,0.11904762,0.7741908151160821,0.34713062894171387,0.3617021276595745,0.199999994492531
34,0.87925696,0.89032257,0.61538464,0.9822064,0.1904762,0.7746992035248264,0.3557795980593854,0.3148148148148148,0.290909102987652
35,0.876161,0.8899676,0.5714286,0.9786477,0.1904762,0.7852058973055415,0.4113450192270558,0.34782608695652173,0.2857142984867096
36,0.87925696,0.89032257,0.61538464,0.9822064,0.1904762,0.7839349262836808,0.4073489461080774,0.352112676056338,0.290909102987652
37,0.86996907,0.89438945,0.5,0.9644128,0.23809524,0.7757159803423148,0.40732214023956365,0.35714285714285715,0.3225806523250121
38,0.876161,0.895082,0.5555556,0.97153026,0.23809524,0.7693611252330113,0.4051358136959673,0.38095238095238093,0.33333334505558
39,0.8637771,0.89632106,0.45833334,0.95373666,0.26190478,0.7617352991018471,0.39266395502602836,0.32558139534883723,0.3333333612473549
40,0.8637771,0.8936877,0.45454547,0.95729536,0.23809524,0.7712252160650737,0.40663626078027654,0.328125,0.3124999970896171
41,0.8637771,0.8859935,0.4375,0.9679715,0.16666667,0.769954245043213,0.39138962048458664,0.35714285714285715,0.24137930960065548
