epoch,acc,prec0,prec1,rec0,rec1,auroc,auprc,minpse,f1_score
0,0.8646803498268127,0.8646803498268127,,1.0,0.0,0.7473022056547481,0.33065625372084445,0.3881278538812785,
1,0.8646803498268127,0.8646803498268127,,1.0,0.0,0.7335304471242188,0.3092099630502373,0.3684210526315789,
2,0.8646803498268127,0.8646803498268127,,1.0,0.0,0.7893374144641951,0.413394947198326,0.44495412844036697,
3,0.8653010725975037,0.8661270141601562,0.6000000238418579,0.9985642433166504,0.013761468231678009,0.808302653503428,0.4162330172634419,0.4416475972540046,0.02690583060023105
4,0.8696461915969849,0.8713119626045227,0.7222222089767456,0.996410608291626,0.059633027762174606,0.8110062106074277,0.4410797877876137,0.4404494382022472,0.11016949335435831
5,0.8739913105964661,0.888127863407135,0.5961538553237915,0.9773869514465332,0.21330274641513824,0.8179544511548568,0.4387826742324599,0.4533029612756264,0.31418918986948313
6,0.8736809492111206,0.8803965449333191,0.6526315808296204,0.9881550669670105,0.14220184087753296,0.821321548766111,0.44513569949740234,0.454337899543379,0.2335216654817001
7,0.874612033367157,0.8856865167617798,0.6194030046463013,0.9816941618919373,0.1903669685125351,0.81927000665187,0.43325176996605846,0.4419134396355353,0.2912280623404274
8,0.8646803498268127,0.8646803498268127,,1.0,0.0,0.8265261431666854,0.4438889456186709,0.463302752293578,
9,0.8739913105964661,0.888127863407135,0.5961538553237915,0.9773869514465332,0.21330274641513824,0.8337123033252765,0.4560164494378477,0.47757847533632286,0.31418918986948313
10,0.869025468826294,0.8754764795303345,0.5945945978164673,0.9892318844795227,0.10091742873191833,0.8364068046655294,0.4428007005895407,0.4701834862385321,0.17254900875296925
11,0.8702669143676758,0.8749208450317383,0.640625,0.9917444586753845,0.09403669834136963,0.8379676890349519,0.45383109352520473,0.4703196347031963,0.164000001663208
12,0.8693358302116394,0.8964130282402039,0.5313807725906372,0.9597989916801453,0.2912844121456146,0.8320843239790038,0.43379665521246547,0.4610091743119266,0.37629629461448105
13,0.8727498650550842,0.8822394013404846,0.6140350699424744,0.9842067360877991,0.16055046021938324,0.8409437423026009,0.4593402843347032,0.4762979683972912,0.2545454500111666
14,0.8705772757530212,0.8771092295646667,0.6172839403152466,0.9888729453086853,0.11467889696359634,0.8428207551519064,0.4675606516197856,0.47706422018348627,0.19342358825261088
15,0.8764742612838745,0.8937994837760925,0.6000000238418579,0.972720742225647,0.26146790385246277,0.8431508789030342,0.4739322386561338,0.4908675799086758,0.36421725771726016
16,0.8783364295959473,0.8987341523170471,0.6000000238418579,0.9684134721755981,0.302752286195755,0.8447274050462009,0.47254673720426543,0.48853211009174313,0.40243903651682816
17,0.8727498650550842,0.8829787373542786,0.6083333492279053,0.9831299185752869,0.16743119060993195,0.8484427379360762,0.4715207828812619,0.4931506849315068,0.2625899320602984
18,0.8798882961273193,0.9056476354598999,0.5924528241157532,0.9612347483634949,0.3600917458534241,0.845223825549767,0.4650849774315188,0.4793577981651376,0.4479315267705245
19,0.8770949840545654,0.8946499228477478,0.6030927896499634,0.9723618030548096,0.2683486342430115,0.8455761770846368,0.46764323761054305,0.4794520547945205,0.3714285825463619
20,0.8752327561378479,0.889288067817688,0.606249988079071,0.9773869514465332,0.22247706353664398,0.8526125055157834,0.4756561046002104,0.5022935779816514,0.3255033474020376
21,0.8755431175231934,0.8852988481521606,0.6377952694892883,0.9834888577461243,0.18577980995178223,0.8537749362803532,0.4763732120837275,0.4897025171624714,0.28774421886169765
22,0.8743016719818115,0.8834138512611389,0.632478654384613,0.9845656752586365,0.16972477734088898,0.8548846789649427,0.48341827880892535,0.5102974828375286,0.26763111833466413
23,0.8780260682106018,0.8939743041992188,0.616216242313385,0.974515438079834,0.26146790385246277,0.8571313316253614,0.5056041325853622,0.5137614678899083,0.3671497893002496
24,0.8770949840545654,0.8897586464881897,0.6282051205635071,0.9791816473007202,0.22477063536643982,0.8574853296627304,0.4933910674356114,0.5146067415730337,0.3310810841723376
25,0.8792675137519836,0.8915387392044067,0.6459627151489258,0.9795405864715576,0.23853211104869843,0.8554815361209717,0.49648999167215385,0.5206073752711496,0.3484087027840866
26,0.8758534789085388,0.8883463740348816,0.6200000047683716,0.9795405864715576,0.21330274641513824,0.8585201564835976,0.49431098085926967,0.510158013544018,0.31740614313711524
27,0.8805090188980103,0.901908278465271,0.6085106134414673,0.9669777750968933,0.3279816508293152,0.8589820004346768,0.502145626518697,0.5229357798165137,0.4262295016373653
28,0.8764742612838745,0.9083447456359863,0.563758373260498,0.9533381462097168,0.38532111048698425,0.8554626013422287,0.4925705160091756,0.5,0.4577656546785665
29,0.8811297416687012,0.9017050862312317,0.6147186160087585,0.9680545330047607,0.32568806409835815,0.8607248233302819,0.5089029043116627,0.5298165137614679,0.42578709881199506
30,0.8808193802833557,0.8998002409934998,0.6192660331726074,0.9702081680297852,0.3096330165863037,0.8606630794865547,0.518723116096099,0.5160550458715596,0.4128440221150716
31,0.8795778751373291,0.8975464105606079,0.6165048480033875,0.9716439247131348,0.2912844121456146,0.8581011215975025,0.5026878839792256,0.5114678899082569,0.3956386487797575
32,0.8857852220535278,0.9095528721809387,0.6259258985519409,0.9637473225593567,0.3876146674156189,0.8592437943320798,0.5186273893379593,0.5229357798165137,0.47875355246465023
33,0.8882681727409363,0.9097973108291626,0.6450381875038147,0.9666188359260559,0.3876146674156189,0.8635596890086079,0.5345713435340257,0.5298165137614679,0.48424068423104594
